"INDICATOR","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"EXPGDP_TOT","GERD as a percentage of GDP","AUS","Australia","1996","1996",1.66231,,
"EXPGDP_TOT","GERD as a percentage of GDP","AUS","Australia","1998","1998",1.51356,,
"EXPGDP_TOT","GERD as a percentage of GDP","AUS","Australia","2000","2000",1.5732,,
"EXPGDP_TOT","GERD as a percentage of GDP","AUS","Australia","2002","2002",1.74749,,
"EXPGDP_TOT","GERD as a percentage of GDP","AUS","Australia","2004","2004",1.84902,,
"EXPGDP_TOT","GERD as a percentage of GDP","AUS","Australia","2006","2006",2.18011,,
"EXPGDP_TOT","GERD as a percentage of GDP","AUS","Australia","2008","2008",2.39995,,
"EXPGDP_TOT","GERD as a percentage of GDP","AUS","Australia","2010","2010",2.37075,,
"EXPGDP_TOT","GERD as a percentage of GDP","AUS","Australia","2011","2011",2.23484,,
"EXPGDP_TOT","GERD as a percentage of GDP","AUS","Australia","2013","2013",2.17843,,
"EXPGDP_TOT","GERD as a percentage of GDP","AUS","Australia","2015","2015",1.92071,,
"EXPGDP_TOT","GERD as a percentage of GDP","AUS","Australia","2017","2017",1.87977,,
"EXPGDP_TOT","GERD as a percentage of GDP","AUS","Australia","2019","2019",1.82892,,
"EXPGDP_TOT","GERD as a percentage of GDP","AUT","Austria","1996","1996",1.58077,,
"EXPGDP_TOT","GERD as a percentage of GDP","AUT","Austria","1997","1997",1.65491,,
"EXPGDP_TOT","GERD as a percentage of GDP","AUT","Austria","1998","1998",1.73155,,
"EXPGDP_TOT","GERD as a percentage of GDP","AUT","Austria","1999","1999",1.84537,,
"EXPGDP_TOT","GERD as a percentage of GDP","AUT","Austria","2000","2000",1.88602,,
"EXPGDP_TOT","GERD as a percentage of GDP","AUT","Austria","2001","2001",1.9921,,
"EXPGDP_TOT","GERD as a percentage of GDP","AUT","Austria","2002","2002",2.06598,,
"EXPGDP_TOT","GERD as a percentage of GDP","AUT","Austria","2003","2003",2.17456,,
"EXPGDP_TOT","GERD as a percentage of GDP","AUT","Austria","2004","2004",2.16612,,
"EXPGDP_TOT","GERD as a percentage of GDP","AUT","Austria","2005","2005",2.37324,,
"EXPGDP_TOT","GERD as a percentage of GDP","AUT","Austria","2006","2006",2.35923,,
"EXPGDP_TOT","GERD as a percentage of GDP","AUT","Austria","2007","2007",2.41843,,
"EXPGDP_TOT","GERD as a percentage of GDP","AUT","Austria","2008","2008",2.56945,,
"EXPGDP_TOT","GERD as a percentage of GDP","AUT","Austria","2009","2009",2.59674,,
"EXPGDP_TOT","GERD as a percentage of GDP","AUT","Austria","2010","2010",2.7261,,
"EXPGDP_TOT","GERD as a percentage of GDP","AUT","Austria","2011","2011",2.66868,,
"EXPGDP_TOT","GERD as a percentage of GDP","AUT","Austria","2012","2012",2.91472,,
"EXPGDP_TOT","GERD as a percentage of GDP","AUT","Austria","2013","2013",2.95492,,
"EXPGDP_TOT","GERD as a percentage of GDP","AUT","Austria","2014","2014",3.08429,,
"EXPGDP_TOT","GERD as a percentage of GDP","AUT","Austria","2015","2015",3.04969,,
"EXPGDP_TOT","GERD as a percentage of GDP","AUT","Austria","2016","2016",3.11655,,
"EXPGDP_TOT","GERD as a percentage of GDP","AUT","Austria","2017","2017",3.05656,,
"EXPGDP_TOT","GERD as a percentage of GDP","AUT","Austria","2018","2018",3.09182,,
"EXPGDP_TOT","GERD as a percentage of GDP","AUT","Austria","2019","2019",3.13247,,
"EXPGDP_TOT","GERD as a percentage of GDP","AUT","Austria","2020","2020",3.20149,,
"EXPGDP_TOT","GERD as a percentage of GDP","AUT","Austria","2021","2021",3.25632,,
"EXPGDP_TOT","GERD as a percentage of GDP","BEL","Belgium","1996","1996",1.74299,,
"EXPGDP_TOT","GERD as a percentage of GDP","BEL","Belgium","1997","1997",1.80971,,
"EXPGDP_TOT","GERD as a percentage of GDP","BEL","Belgium","1998","1998",1.83825,,
"EXPGDP_TOT","GERD as a percentage of GDP","BEL","Belgium","1999","1999",1.90565,,
"EXPGDP_TOT","GERD as a percentage of GDP","BEL","Belgium","2000","2000",1.93619,,
"EXPGDP_TOT","GERD as a percentage of GDP","BEL","Belgium","2001","2001",2.03279,,
"EXPGDP_TOT","GERD as a percentage of GDP","BEL","Belgium","2002","2002",1.90325,,
"EXPGDP_TOT","GERD as a percentage of GDP","BEL","Belgium","2003","2003",1.84119,,
"EXPGDP_TOT","GERD as a percentage of GDP","BEL","Belgium","2004","2004",1.8205,,
"EXPGDP_TOT","GERD as a percentage of GDP","BEL","Belgium","2005","2005",1.79061,,
"EXPGDP_TOT","GERD as a percentage of GDP","BEL","Belgium","2006","2006",1.82269,,
"EXPGDP_TOT","GERD as a percentage of GDP","BEL","Belgium","2007","2007",1.84999,,
"EXPGDP_TOT","GERD as a percentage of GDP","BEL","Belgium","2008","2008",1.93684,,
"EXPGDP_TOT","GERD as a percentage of GDP","BEL","Belgium","2009","2009",1.9986,,
"EXPGDP_TOT","GERD as a percentage of GDP","BEL","Belgium","2010","2010",2.06188,,
"EXPGDP_TOT","GERD as a percentage of GDP","BEL","Belgium","2011","2011",2.17332,,
"EXPGDP_TOT","GERD as a percentage of GDP","BEL","Belgium","2012","2012",2.28114,,
"EXPGDP_TOT","GERD as a percentage of GDP","BEL","Belgium","2013","2013",2.33073,,
"EXPGDP_TOT","GERD as a percentage of GDP","BEL","Belgium","2014","2014",2.37002,,
"EXPGDP_TOT","GERD as a percentage of GDP","BEL","Belgium","2015","2015",2.42817,,
"EXPGDP_TOT","GERD as a percentage of GDP","BEL","Belgium","2016","2016",2.52338,,
"EXPGDP_TOT","GERD as a percentage of GDP","BEL","Belgium","2017","2017",2.66666,,
"EXPGDP_TOT","GERD as a percentage of GDP","BEL","Belgium","2018","2018",2.86018,,
"EXPGDP_TOT","GERD as a percentage of GDP","BEL","Belgium","2019","2019",3.1566,,
"EXPGDP_TOT","GERD as a percentage of GDP","BEL","Belgium","2020","2020",3.39697,,
"EXPGDP_TOT","GERD as a percentage of GDP","BEL","Belgium","2021","2021",3.42979,,
"EXPGDP_TOT","GERD as a percentage of GDP","CAN","Canada","1996","1996",1.60682,,
"EXPGDP_TOT","GERD as a percentage of GDP","CAN","Canada","1997","1997",1.61386,,
"EXPGDP_TOT","GERD as a percentage of GDP","CAN","Canada","1998","1998",1.71051,,
"EXPGDP_TOT","GERD as a percentage of GDP","CAN","Canada","1999","1999",1.74985,,
"EXPGDP_TOT","GERD as a percentage of GDP","CAN","Canada","2000","2000",1.85848,,
"EXPGDP_TOT","GERD as a percentage of GDP","CAN","Canada","2001","2001",2.02117,,
"EXPGDP_TOT","GERD as a percentage of GDP","CAN","Canada","2002","2002",1.97171,,
"EXPGDP_TOT","GERD as a percentage of GDP","CAN","Canada","2003","2003",1.96781,,
"EXPGDP_TOT","GERD as a percentage of GDP","CAN","Canada","2004","2004",1.99734,,
"EXPGDP_TOT","GERD as a percentage of GDP","CAN","Canada","2005","2005",1.97127,,
"EXPGDP_TOT","GERD as a percentage of GDP","CAN","Canada","2006","2006",1.94304,,
"EXPGDP_TOT","GERD as a percentage of GDP","CAN","Canada","2007","2007",1.90358,,
"EXPGDP_TOT","GERD as a percentage of GDP","CAN","Canada","2008","2008",1.85578,,
"EXPGDP_TOT","GERD as a percentage of GDP","CAN","Canada","2009","2009",1.91742,,
"EXPGDP_TOT","GERD as a percentage of GDP","CAN","Canada","2010","2010",1.82528,,
"EXPGDP_TOT","GERD as a percentage of GDP","CAN","Canada","2011","2011",1.78714,,
"EXPGDP_TOT","GERD as a percentage of GDP","CAN","Canada","2012","2012",1.77232,,
"EXPGDP_TOT","GERD as a percentage of GDP","CAN","Canada","2013","2013",1.7054,,
"EXPGDP_TOT","GERD as a percentage of GDP","CAN","Canada","2014","2014",1.71417,,
"EXPGDP_TOT","GERD as a percentage of GDP","CAN","Canada","2015","2015",1.69324,,
"EXPGDP_TOT","GERD as a percentage of GDP","CAN","Canada","2016","2016",1.72903,,
"EXPGDP_TOT","GERD as a percentage of GDP","CAN","Canada","2017","2017",1.68702,,
"EXPGDP_TOT","GERD as a percentage of GDP","CAN","Canada","2018","2018",1.7372,,
"EXPGDP_TOT","GERD as a percentage of GDP","CAN","Canada","2019","2019",1.75573,,
"EXPGDP_TOT","GERD as a percentage of GDP","CAN","Canada","2020","2020",1.89484,,
"EXPGDP_TOT","GERD as a percentage of GDP","CAN","Canada","2021","2021",1.69727,,
"EXPGDP_TOT","GERD as a percentage of GDP","CZE","Czechia","1996","1996",0.88912,,
"EXPGDP_TOT","GERD as a percentage of GDP","CZE","Czechia","1997","1997",0.98819,,
"EXPGDP_TOT","GERD as a percentage of GDP","CZE","Czechia","1998","1998",1.06022,,
"EXPGDP_TOT","GERD as a percentage of GDP","CZE","Czechia","1999","1999",1.04957,,
"EXPGDP_TOT","GERD as a percentage of GDP","CZE","Czechia","2000","2000",1.10997,,
"EXPGDP_TOT","GERD as a percentage of GDP","CZE","Czechia","2001","2001",1.09871,,
"EXPGDP_TOT","GERD as a percentage of GDP","CZE","Czechia","2002","2002",1.09819,,
"EXPGDP_TOT","GERD as a percentage of GDP","CZE","Czechia","2003","2003",1.1421,,
"EXPGDP_TOT","GERD as a percentage of GDP","CZE","Czechia","2004","2004",1.13935,,
"EXPGDP_TOT","GERD as a percentage of GDP","CZE","Czechia","2005","2005",1.161,,
"EXPGDP_TOT","GERD as a percentage of GDP","CZE","Czechia","2006","2006",1.22542,,
"EXPGDP_TOT","GERD as a percentage of GDP","CZE","Czechia","2007","2007",1.29572,,
"EXPGDP_TOT","GERD as a percentage of GDP","CZE","Czechia","2008","2008",1.23358,,
"EXPGDP_TOT","GERD as a percentage of GDP","CZE","Czechia","2009","2009",1.28656,,
"EXPGDP_TOT","GERD as a percentage of GDP","CZE","Czechia","2010","2010",1.3267,,
"EXPGDP_TOT","GERD as a percentage of GDP","CZE","Czechia","2011","2011",1.54477,,
"EXPGDP_TOT","GERD as a percentage of GDP","CZE","Czechia","2012","2012",1.76967,,
"EXPGDP_TOT","GERD as a percentage of GDP","CZE","Czechia","2013","2013",1.87924,,
"EXPGDP_TOT","GERD as a percentage of GDP","CZE","Czechia","2014","2014",1.95833,,
"EXPGDP_TOT","GERD as a percentage of GDP","CZE","Czechia","2015","2015",1.91689,,
"EXPGDP_TOT","GERD as a percentage of GDP","CZE","Czechia","2016","2016",1.67003,,
"EXPGDP_TOT","GERD as a percentage of GDP","CZE","Czechia","2017","2017",1.76855,,
"EXPGDP_TOT","GERD as a percentage of GDP","CZE","Czechia","2018","2018",1.89906,,
"EXPGDP_TOT","GERD as a percentage of GDP","CZE","Czechia","2019","2019",1.92734,,
"EXPGDP_TOT","GERD as a percentage of GDP","CZE","Czechia","2020","2020",1.98599,,
